z_m,phi_V,E_C_J,E_V_J,n_m3,p_m3
9.500000000000000364e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
9.750000000000000618e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
9.999999999999999547e-08,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.024999999999999980e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.050000000000000005e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.075000000000000031e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.100000000000000056e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.125000000000000081e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.149999999999999974e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.175000000000000000e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.200000000000000157e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.224999999999999918e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
1.249999999999999943e-07,-1.233571010990815786e+00,-4.511701349810757963e-19,-6.313181157503065726e-19,2.466259262112529826e-01,1.997241021237709814e+36
