name,eps_rel,k0,alpha_k,sigma0,alpha_sigma,rho,cp0,alpha_cp
Si,11.7,148.0,-0.002,1.0e3,-0.01,2329,700,0.0
SiO2,3.9,1.4,0.0,1.0e-12,0.0,2200,730,0.0
